[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.280465 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002398 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.780396 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002399 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002710 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002302 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.259579 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002371 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.771811 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002305 seconds
